abertura,capital_social,capital_social_filtrado,cidade,cnae_principal,cnaes_secundarios,cnpj,descricao_google,email,endereco_receita,nome_fantasia,nome_google,porte,razao_social,redes_sociais,segmento,status,telefone_receita,url
,,,Juiz de Fora MG,,,42.882.262/0001-77,5 anos cuidando da sua autoestima em Juiz de Fora Clínica estética avançada e. Depilação 4D com tecnologia de ponta e muito mais ! Agende agora ...,,,,Estética Rios 🖤🖤 (@clinicaesteticarios),,,https://www.instagram.com/clinicaesteticarios/ | https://www.instagram.com/clinicaesteticarios/?hl=en | https://www.instagram.com/clinicaesteticarios/?hl=fr | https://www.instagram.com/clinicaesteticarios/?hl=it | https://www.instagram.com/clinicaesteticarios/?hl=de | https://www.instagram.com/clinicaesteticarios/?hl=es | https://www.instagram.com/clinicaesteticarios/?hl=zh-cn | https://www.instagram.com/clinicaesteticarios/?hl=zh-tw | https://www.instagram.com/clinicaesteticarios/?hl=ja | https://www.instagram.com/clinicaesteticarios/?hl=ko | https://www.instagram.com/clinicaesteticarios/?hl=pt | https://www.instagram.com/clinicaesteticarios/?hl=pt-br | https://www.instagram.com/clinicaesteticarios/?hl=af | https://www.instagram.com/clinicaesteticarios/?hl=cs | https://www.instagram.com/clinicaesteticarios/?hl=da | https://www.instagram.com/clinicaesteticarios/?hl=el | https://www.instagram.com/clinicaesteticarios/?hl=fi | https://www.instagram.com/clinicaesteticarios/?hl=hr | https://www.instagram.com/clinicaesteticarios/?hl=hu | https://www.instagram.com/clinicaesteticarios/?hl=id | https://www.instagram.com/clinicaesteticarios/?hl=ms | https://www.instagram.com/clinicaesteticarios/?hl=nb | https://www.instagram.com/clinicaesteticarios/?hl=nl | https://www.instagram.com/clinicaesteticarios/?hl=pl | https://www.instagram.com/clinicaesteticarios/?hl=ru | https://www.instagram.com/clinicaesteticarios/?hl=sk | https://www.instagram.com/clinicaesteticarios/?hl=sv | https://www.instagram.com/clinicaesteticarios/?hl=th | https://www.instagram.com/clinicaesteticarios/?hl=tl | https://www.instagram.com/clinicaesteticarios/?hl=tr | https://www.instagram.com/clinicaesteticarios/?hl=hi | https://www.instagram.com/clinicaesteticarios/?hl=bn | https://www.instagram.com/clinicaesteticarios/?hl=gu | https://www.instagram.com/clinicaesteticarios/?hl=kn | https://www.instagram.com/clinicaesteticarios/?hl=ml | https://www.instagram.com/clinicaesteticarios/?hl=mr | https://www.instagram.com/clinicaesteticarios/?hl=pa | https://www.instagram.com/clinicaesteticarios/?hl=ta | https://www.instagram.com/clinicaesteticarios/?hl=te | https://www.instagram.com/clinicaesteticarios/?hl=ne | https://www.instagram.com/clinicaesteticarios/?hl=si | https://www.instagram.com/clinicaesteticarios/?hl=vi | https://www.instagram.com/clinicaesteticarios/?hl=bg | https://www.instagram.com/clinicaesteticarios/?hl=fr-ca | https://www.instagram.com/clinicaesteticarios/?hl=ro | https://www.instagram.com/clinicaesteticarios/?hl=sr | https://www.instagram.com/clinicaesteticarios/?hl=uk | https://www.instagram.com/clinicaesteticarios/?hl=zh-hk | https://www.instagram.com/clinicaesteticarios/?hl=es-la | https://www.instagram.com/clinicaesteticarios/?hl=he | https://www.instagram.com/clinicaesteticarios/?hl=fa | https://www.instagram.com/clinicaesteticarios/?hl=ar | https://www.instagram.com/clinicaesteticarios/?hl=ur | https://www.instagram.com/clinicaesteticarios/?hl=en-gb | https://www.instagram.com/clinicaesteticarios/?hl=sw-ke | https://www.instagram.com/clinicaesteticarios/?hl=ha-ng | https://www.instagram.com/clinicaesteticarios/?hl=am-et | https://www.instagram.com/clinicaesteticarios/?hl=om-et | https://instagram.com/_u/clinicaesteticarios/,clínica de estética,,,https://www.instagram.com/clinicaesteticarios/
,,,Juiz de Fora MG,,,10.144.218/0001-73,"A Dermacenter é um centro dermatológico que atua em Juiz de Fora e região há 30 anos. Através de uma filosofia que coloca o paciente sempre em primeiro lugar, ...",,,,Dermacenter,,,https://www.facebook.com/dermacenterjf | https://www.instagram.com/dermacenterjf/,clínica de estética,,,https://dermacenterjf.com.br/
,,,Juiz de Fora MG,,,15.916.578/0001-60,"Rede especializada em Tratamentos Estéticos Faciais e Corporais, Remoção de Tatuagem e Depilação. Agende agora uma avaliação na Pró-Corpo!",,,,Pró-Corpo Estética Avançada | Tratamentos Faciais e Corporais,,,https://www.facebook.com/procorpoestetica | https://www.instagram.com/procorpoestetica | https://www.youtube.com/user/procorpotv,clínica de estética,,,https://www.procorpoestetica.com.br/
,,,Juiz de Fora MG,,,27.411.808/0001-18,Clínica Odontológica ⭐️Especialistas em Implantes Há + de 6 anos transformando vidas 98895-1761 3214-0301. Agende sua consulta⤵️ ...,,,,Espaço Odontológico | Juiz de Fora (@espacoodontologicojf),,,https://www.instagram.com/vitalitajf/ | https://www.instagram.com/vitalitajf/?hl=en | https://www.instagram.com/vitalitajf/?hl=fr | https://www.instagram.com/vitalitajf/?hl=it | https://www.instagram.com/vitalitajf/?hl=de | https://www.instagram.com/vitalitajf/?hl=es | https://www.instagram.com/vitalitajf/?hl=zh-cn | https://www.instagram.com/vitalitajf/?hl=zh-tw | https://www.instagram.com/vitalitajf/?hl=ja | https://www.instagram.com/vitalitajf/?hl=ko | https://www.instagram.com/vitalitajf/?hl=pt | https://www.instagram.com/vitalitajf/?hl=pt-br | https://www.instagram.com/vitalitajf/?hl=af | https://www.instagram.com/vitalitajf/?hl=cs | https://www.instagram.com/vitalitajf/?hl=da | https://www.instagram.com/vitalitajf/?hl=el | https://www.instagram.com/vitalitajf/?hl=fi | https://www.instagram.com/vitalitajf/?hl=hr | https://www.instagram.com/vitalitajf/?hl=hu | https://www.instagram.com/vitalitajf/?hl=id | https://www.instagram.com/vitalitajf/?hl=ms | https://www.instagram.com/vitalitajf/?hl=nb | https://www.instagram.com/vitalitajf/?hl=nl | https://www.instagram.com/vitalitajf/?hl=pl | https://www.instagram.com/vitalitajf/?hl=ru | https://www.instagram.com/vitalitajf/?hl=sk | https://www.instagram.com/vitalitajf/?hl=sv | https://www.instagram.com/vitalitajf/?hl=th | https://www.instagram.com/vitalitajf/?hl=tl | https://www.instagram.com/vitalitajf/?hl=tr | https://www.instagram.com/vitalitajf/?hl=hi | https://www.instagram.com/vitalitajf/?hl=bn | https://www.instagram.com/vitalitajf/?hl=gu | https://www.instagram.com/vitalitajf/?hl=kn | https://www.instagram.com/vitalitajf/?hl=ml | https://www.instagram.com/vitalitajf/?hl=mr | https://www.instagram.com/vitalitajf/?hl=pa | https://www.instagram.com/vitalitajf/?hl=ta | https://www.instagram.com/vitalitajf/?hl=te | https://www.instagram.com/vitalitajf/?hl=ne | https://www.instagram.com/vitalitajf/?hl=si | https://www.instagram.com/vitalitajf/?hl=vi | https://www.instagram.com/vitalitajf/?hl=bg | https://www.instagram.com/vitalitajf/?hl=fr-ca | https://www.instagram.com/vitalitajf/?hl=ro | https://www.instagram.com/vitalitajf/?hl=sr | https://www.instagram.com/vitalitajf/?hl=uk | https://www.instagram.com/vitalitajf/?hl=zh-hk | https://www.instagram.com/vitalitajf/?hl=es-la | https://www.instagram.com/vitalitajf/?hl=he | https://www.instagram.com/vitalitajf/?hl=fa | https://www.instagram.com/vitalitajf/?hl=ar | https://www.instagram.com/vitalitajf/?hl=ur | https://www.instagram.com/vitalitajf/?hl=en-gb | https://www.instagram.com/vitalitajf/?hl=sw-ke | https://www.instagram.com/vitalitajf/?hl=ha-ng | https://www.instagram.com/vitalitajf/?hl=am-et | https://www.instagram.com/vitalitajf/?hl=om-et | https://instagram.com/_u/vitalitajf/,clínica odontológica,,,https://www.instagram.com/espacoodontologicojf/
,,,Juiz de Fora MG,,,49.961.863/0001-14,"Os mais recomendados dentistas de Juiz de Fora: veja opiniões, verifique a disponibilidade e agende sua consulta online em segundos. É grátis!",,,,Os 20 Dentistas mais recomendados em Juiz de Fora,,,https://www.facebook.com/doctoralia.br/ | https://www.instagram.com/doctoralia_br/ | https://www.linkedin.com/company/doctoralia-brasil/,clínica odontológica,,,https://www.doctoralia.com.br/dentista/juiz-de-fora
,,,Juiz de Fora MG,,,12.817.681/0001-64,"CRO MG 44197. Registro da clínica: EPAO-M-4441. Contato. (32) 98883-1000. - (32) 3213-6006. Rua Barão de São João Nepomuceno, 197, Centro Juiz de Fora / MG",,,,Juiz de Fora - Centro,,,https://www.facebook.com/odontocompany/ | https://www.instagram.com/odontocompany/ | https://www.youtube.com/channel/ucnnrmgnew-6zs20tivtryka | https://www.linkedin.com/company/3792185/,clínica odontológica,,,https://odontocompany.com/juizdeforacentro
,,,Juiz de Fora MG,,,19.882.024/0001-40,"Atuando desde de 2016 no ramo odontológico em Juiz de Fora, a Rennovar oferece uma nova experiência em tratamento odontológico e estético. Contamos para isso ...",,,,Rennovar Odontologia Digital,,,https://www.facebook.com/tr?id=229418818741121&ev=pageview&noscript=1 | https://www.facebook.com/rennovarodonto | https://www.instagram.com/rennovarodonto/ | https://www.linkedin.com/company/rennovareo/ | https://www.youtube.com/channel/ucj_8krplcnapnsfrejcxekq,clínica odontológica,,,https://www.rennovarodonto.com.br/
,,,Juiz de Fora MG,,,23.966.185/0001-99,"Santer Centro Odontológico: referência como clínica odontológica e dentista em Juiz de Fora. Implantes, facetas, alinhadores invisíveis e odontologia ...",,,,Santer Centro Odontológico - Juiz de Fora,,,https://www.instagram.com/santerodonto/?hl=pt-br | https://www.youtube.com/channel/uccplwfg6r6iddets64c5-mw | https://www.facebook.com/santerodonto,clínica odontológica,,,https://www.santer.com.br/
,,,Juiz de Fora MG,,,42.835.141/0001-74,"Nosso(s) telefone(s). (32) 9 9950-9629 ; Nosso e-mail. recepcao@oralunicjuizdefora.com.br ; Encontre-nos: Rua Padre Café 178. Juiz de Fora, MG.",,,,Oral Unic - Juiz de Fora,,,https://www.instagram.com/oralunicjuizdefora/ | https://www.facebook.com/oralunicjuizdefora | https://www.youtube.com/channel/uc4b6ttrkhfvpx7z7412ge1q | https://www.instagram.com/oralunicjuizdefora/\ | https://www.facebook.com/oralunicjuizdefora\ | https://www.youtube.com/channel/uc4b6ttrkhfvpx7z7412ge1q\ | https://www.youtube.com/embed/c3bxmtfn98m\ | https://www.youtube.com/embed/jatvdvzt7ws\ | https://www.youtube.com/embed/j7jomg51qza\ | https://www.youtube.com/embed/ias8bhdyvg8\,clínica odontológica,,,https://www.oralunic.com.br/juiz-de-fora-mg
,,,Juiz de Fora MG,,,24.652.534/0001-60,"Instituto Fartes – Clínica Odontológica em Juiz de Fora – MG. Serviços de implantodontia, prótese, estética, periodontia, ortodontia, endodontia, ...",,,,Instituto Fartes - Clínica Odontológica em Juiz de Fora - MG,,,,clínica odontológica,,,https://institutofartes.com.br/
,,,Juiz de Fora MG,,,45.338.432/0001-45,Dentista/Clínica Odontológica estética e corretiva no centro de Juiz de Fora realizando diversos tratamentos da odontologia moderna.,,,,Clínica Odontológica Solar Odontologia - Juiz de Fora/MG,,,,clínica odontológica,,,https://solarodontologia.com.br/
,,,Juiz de Fora MG,,,15.249.276/0001-85,"Unidade Centro. Av. Barão do Rio Branco, 2872; Centro - Juiz de Fora - MG; Salas - 901/902; Seg à Sexta das 09:00hs ás 19:00hs; (32) 98833-5841 · Facebook ...",,,,Dentista em Juiz de Fora | Clínica Odontológica Odonto ...,,,,clínica odontológica,,,https://odontomillenium.jdf.br/
,,,Juiz de Fora MG,,,26.132.027/0001-21,"CLÍNICA ODONTOLÓGICA. ATENDIMENTO HUMANIZADO, PERSONALIZADO E. PARTICULAR para você de JUIZ DE FORA E REGIÃO. (32) 98856-5331 · (32) 3221-9091. TRATAMENTO",,,,Dentista em Juiz de Fora - Pró Dente - Cuidamos do Seu ...,,,,clínica odontológica,,,https://odontologiaprodentejf.com.br/
